path	label	predict	error_bit
ae_data/G_A/[0.1, 0.01]/0.png	1110010011111011011011001100010111011000010111101000111110011110010110000000010110100000111000011011	0110110010000111001000000000110100011001010101111110111000010110100101110101101101101101100001011011	42
ae_data/G_A/[0.1, 0.01]/1.png	1001100000100011010110011111111100001110000011011101010000001111110100011000100000010000100000100001	0001100000111100101001011101101110101001001001001000111010011010101101011111010000001110000100110110	48
ae_data/G_A/[0.1, 0.01]/2.png	0101000110111000100010001111001101101010101110000010011011000010000101001011000111001010101010111111	0011001010101000101101101111011111110011111110101010011110111101111100010010100111100001110000111101	42
ae_data/G_A/[0.1, 0.01]/3.png	0000000110100000000100100011000101011000111000100101001011111001010101101011100011000011011100110100	0100100111000111000000101101100000111100001101101111101111011001111011111111010100000001010000011110	42
ae_data/G_A/[0.1, 0.01]/4.png	0010110101010110010011101000111101100110110001110100001010011000111110010011011000100001110110000011	0100011000000111100010001001100101110111000000101100001000110100010110000001110001100110000100110000	43
ae_data/G_A/[0.1, 0.01]/5.png	1101010100001111000001110001000111111010001010010001001001100010111001001101010110111100100101111000	0000101110110100101010110011010101001110011100010100000001001011110001001110011010001011000110111001	45
ae_data/G_A/[0.1, 0.01]/6.png	0001000110000000011000101110000111111110000010111110011001110010000000101101011101001100001101000110	0100100010101001010000111001000111000100011110101001010111110000000000010000110101011100101010100011	42
ae_data/G_A/[0.1, 0.01]/7.png	1000011110101110000111000000101110001010010110010110110101101010010101111110100000101110010010001101	0110100011100010100100000011101000000100010011100010000110111010111011011110110000100010110001101100	43
ae_data/G_A/[0.1, 0.01]/8.png	1010010111111010110100000110010110011011001100011001011000011110001100100011111000011011101010100101	1010110011111001000110101110011011100010001001001100110100111100011010000101101000000110110100100100	42
ae_data/G_A/[0.1, 0.01]/9.png	0010001010010101101000101001110100100010011100011101111100000101101001010111110111001011000111101101	0000000101010111111010010101110100111110001010001110111110110110111001101000110001000011101010000100	43
ae_data/G_A/[0.1, 0.01]/10.png	1110111111011011001111001011100111000001011011010111000010010101111011000001011100100000010100110110	0110101011001101100100111001100001011001000010000100010000011000110011001001010100100101001011010001	42
ae_data/G_A/[0.1, 0.01]/11.png	1001010101100001000111101110000100011010011011010100110000100100110111111100011110011100111101100110	0001010011000110000111001001000101110010110000001100011100000010011110010001010100100101111010100010	43
